brand,name,flavor,Volume (ml),Calories,Caffeine (mg),sugar_g,type,
Ale-8,ALE-8-One,,355,120,37,30,Soft Drink,
Ale-8,Ale-8 Zero Sugar,,355,0,44,0,Soft Drink,
Ale-8,Cherry Ale-8,Cherry ,355,120,37,30,Soft Drink,
Ale-8,Cherry Ale-8 Zero Sugar ,Cherry ,355,0,44,0,Soft Drink,
Ale-8,Orange Cream ALE-8,Orange Cream ,355,120,37,30,Soft Drink,
Ale-8,Blackberry ALE-8,Blackberry,355,120,37,30,Soft Drink,
BAWLS Guarana,BAWLS Guarana Original,,473,190,102,37,Soft Drink,
BAWLS Guarana,BAWLS Guarana Zero,,473,0,102,0,Soft Drink,
BAWLS Guarana,BAWLS Guarana Orange,Orange,296,120,64,28,Soft Drink,
BAWLS Guarana,BAWLS Guarana Ginger Ale,Ginger Ale,296,120,64,30,Soft Drink,
BAWLS Guarana,BAWLS Guarana Cherry Cola,cherry cola,296,110,64,28,Soft Drink,
BAWLS Guarana,BAWLS Guarana Cherry,cherry ,473,190,102,42,Soft Drink,
BAWLS Guarana,BAWLS Guarana Root Beer,Root Beer,473,190,102,43,Soft Drink,
BAWLS Guarana,BAWLS Guarana Cherry Zero,Cherry,473,0,102,0,Soft Drink,
BAWLS Guarana,BAWLS Guarana Root Beer Zero,Root Beer,473,0,102,0,Soft Drink,
Big Red,Big Red,red cream soda,355,150,36,40,Soft Drink,
Big Red,Big Red Zero Sugar,red cream soda,355,0,39,0,Soft Drink,
Big Red,Big Blue,blueberry cream soda,355,180,34,44,Soft Drink,
Canada Dry,Canada Dry Ginger Ale,ginger ale,355,140,9,38,Soft Drink,
Cheerwine,Cheerwine,cherry cola,355,150,47,39,Soft Drink,
Cheerwine,Cheerwine Zero Sugar,cherry cola,355,0,47,0,Soft Drink,
Dr Pepper,Dr Pepper,spiced cherry cola,355,150,41,40,Soft Drink,
Dr Pepper,Dr Pepper Zero Sugar,spiced cherry cola,355,0,41,0,Soft Drink,
Dr Pepper,Diet Dr Pepper,spiced cherry cola,355,0,41,0,Soft Drink,
Dr Pepper,Dr Pepper Blackberry,blackberry cola,355,150,41,40,Soft Drink,
Dr Pepper,Dr Pepper Zero Sugar Blackberry,blackberry cola,355,0,41,0,Soft Drink,
Dr Pepper,Dr Pepper Strawberries and Cream,strawberry cream,355,150,41,40,Soft Drink,
Dr Pepper,Dr Pepper Zero Sugar Strawberries and Cream,strawberry cream,355,0,41,0,Soft Drink,
Dr Pepper,Dr Pepper Cherry,cherry cola,355,160,41,42,Soft Drink,
Dr Pepper,Dr Pepper Zero Sugar Cherry,cherry cola,355,0,41,0,Soft Drink,
Dr Pepper,Dr Pepper and Cream Soda,cream soda,355,150,41,40,Soft Drink,
Dr Pepper,Dr Pepper and Cream Soda Zero Sugar,cream soda,355,0,41,0,Soft Drink,
Dr Pepper,Dr Pepper Cherry Vanilla,cherry vanilla cola,355,150,41,42,Soft Drink,
Dr Pepper,Diet Dr Pepper Cherry,cherry cola,355,150,41,40,Soft Drink,
Dr Pepper,Dr Pepper Made with Real Sugar,spiced cherry cola,355,150,41,40,Soft Drink,
RC Cola,RC Cola,cola,355,160,43,43,Soft Drink,
RC Cola,RC Cola Zero Sugar,cola,355,0,48,0,Soft Drink,
RC Cola,RC Cola,cherry cola,355,160,43,42,Soft Drink,
Double-Cola,Double-Cola Soda,cola,355,160,36,43,Soft Drink,
Double-Cola,Diet Double-Cola Soda,cola,355,0,36,0,Soft Drink,
SKI,SKI Soda,citrus,355,180,69,47,Soft Drink,
SKI,Diet SKI Soda,citurs,592,10,28,3,Soft Drink,
SKI,SKI Soda Cherry,cherry,355,190,69,48,Soft Drink,
Shasta,Dr. Shasta,cream soda,355,120,29,31,Soft Drink,
Shasta,Shasta Cola,cherry cola,355,120,43,33,Soft Drink,
Shasta,Shasta Cola,cola,355,130,43,34,Soft Drink,
Shasta,Shasta Mountain Rush,citrus,355,140,54,35,Soft Drink,
Shasta,Shasta Zero Sugar Mountain Rush,citrus,355,0,54,0,Soft Drink,
Shasta,Shasta Zero Sugar Cola,citrus,355,0,47,0,Soft Drink,
Faygo,Faygo Cola,Cola,355,165,43,44,Soft Drink,
Faygo,Faygo Moon Mist,Citrus,355,150,20,38,Soft Drink,
Inca Kola,Inca Kola,Cola,355,140,37,39,Soft Drink,
Kickapoo ,Kickapoo Joy Juice,Citrus,355,190,40,48,Soft Drink,
Kickapoo ,Kickapoo Fruit Shine,Sangria,355,190,38,47,Soft Drink,
Kickapoo ,Kickapoo Maliblu,Pina Colada,355,190,38,48,Soft Drink,
Kickapoo ,Kickapoo Fuzzy Navel,Peach,355,190,38,48,Soft Drink,
Mello Yello,Mello Yello,Citrus,355,170,51,46,Soft Drink,
Mello Yello,Mello Yello Zero Sugar,Citrus,255,0,51,0,Soft Drink,
Moxie,Moxie,Cola,355,140,39,39,Soft Drink,
Moxie,Diet Moxie,Cola,355,0,24,0,Soft Drink,
Pibb Xtra,Pibb Xtra,Spicy Cherry,355,140,40,38,Soft Drink,
Pibb Xtra,Pibb Zero,Spicy Cherry,355,0,40,0,Soft Drink,
Squirt,Squirt Ruby Red,Citrus Berry,355,170,39,46,Soft Drink,
Starbucks,Starbucks Refresher with Coconut Water,Black Cherry,355,90,40,22,Soft Drink,
Starbucks,Starbucks Refresher with Coconut Water,Peach Passion Fruit,355,90,40,22,Soft Drink,
Starbucks,Starbucks Refresher with Coconut Water,Strawberry Lemonade,355,90,40,22,Soft Drink,
Sun Drop,Diet Sun Drop Cherry Lemon Citrus Soda,Cherry Lemon Citrus ,355,5,68,1,Soft Drink,
Sun Drop,Diet Sun Drop Citrus Soda,Citrus,355,5,68,1,Soft Drink,
Sun Drop,Sun Drop Cherry Lemon Citrus Soda,Cherry Lemon Citrus ,355,170,63,46,Soft Drink,
Sun Drop,Sun Drop Citrus Soda,Citrus,355,170,64,47,Soft Drink,
Sunkist,Sunkist Soda,Orange,355,160,19,44,Soft Drink,
Sunkist,Sunkist Zero Sugar Soda,Orange,355,160,19,0,Soft Drink,
Wave,Wave Organic Sparkling Refresher,Black Tea Orange,355,20,16,5,Soft Drink,
Zevia,Dr. Zevia,cherry citrus,355,0,42,0,Soft Drink,
Zevia,Zevia Cola,Cola,355,0,45,0,Soft Drink,
Zevia,Zevia Cherry Cola,Cherry Cola,355,0,38,0,Soft Drink,
Barqs,Barqs Root Beer,Wild Cherry,360,0,38,44,Soft Drink,
Pepsi,Pepsi,cola,360,150,38,41,Soft Drink,
Pepsi,Pepsi Wild Cherry,cherry cola,360,160,38,42,Soft Drink,
Pepsi,Pepsi Made with Real Sugar,cola,360,150,38,40,Soft Drink,
Pepsi,Diet Pepsi,cola,360,0,35,0,Soft Drink,
Pepsi,Pepsi Zero Sugar,cola,360,0,38,0,Soft Drink,
Pepsi,Pepsi Zero Sugar Wild Cherry,cherry cola,360,0,38,0,Soft Drink,
Mountain Dew,Diet Mountain Dew,citrus,360,0,54,0,Soft Drink,
Mountain Dew,Mountain Dew,citurs,360,170,54,46,Soft Drink,
Mountain Dew,Mountain Dew Baja Blast,tropical citrus,360,170,59,44,Soft Drink,
Mountain Dew,Mountain Dew Code Red,cherry citrus,360,170,54,46,Soft Drink,
Mountain Dew,Mountain Dew Kickstart Black Cherry,black cherry,240,40,46,9,Soft Drink,
Mountain Dew,Mountain Dew Kickstart Fruit Punch,fruit punch,240,40,46,10,Soft Drink,
Mountain Dew,Mountain Dew Kickstart Orange Citrus,orange citrus,240,40,46,10,Soft Drink,
Mountain Dew,Mountain Dew Kickstart Pineapple Orange Mango,orange citrus pineapple,240,40,46,9,Soft Drink,
Mountain Dew,Mountain Dew Live Wire,orange citrus,360,180,54,46,Soft Drink,
Mountain Dew,Mountain Dew Major Melon,watermelon,360,160,55,46,Soft Drink,
Mountain Dew,Mountain Dew Voltage,blue raspberry citrus,360,170,55,46,Soft Drink,
Mountain Dew,Mountain Dew Dragon Fruit,cherry kiwi passionfruit,360,170,54,46,Soft Drink,
Mountain Dew,Mountain Dew Zero Sugar,citrus,360,0,68,0,Soft Drink,
Mountain Dew,Mountain Dew Baja Blast Zero Sugar,tropical lime citrus,360,0,68,0,Soft Drink,
Coca‑Cola,Coca‑Cola Classic,cola,360,140,34,39,Soft Drink,
Coca‑Cola,Coca‑Cola Zero Sugar,cola,360,0,34,0,Soft Drink,
Coca‑Cola,Coca‑Cola Cherry,cherry cola,360,150,34,42,Soft Drink,
Coca‑Cola,Coca‑Cola Vanilla,vanilla cola,360,150,34,39,Soft Drink,
Coca‑Cola,Coca‑Cola Zero Sugar,cola,360,0,34,0,Soft Drink,
Coca‑Cola,Coca‑Cola Zero Sugar Cherry,cherry cola,360,0,34,0,Soft Drink,
Coca‑Cola,Coca-Cola Orange Cream,orange vanilla cola,360,160,34,44,Soft Drink,
Coca‑Cola,Coca-Cola Zero Sugar Orange Cream,orange vanilla cola,360,0,34,0,Soft Drink,
Diet Coke,Diet Coke,cola,360,0,46,0,Soft Drink,
Diet Coke,Diet Coke Cherry,cherry cola,360,0,46,0,Soft Drink,
Diet Coke,Diet Coke Feisty Cherry,cherry cola,360,0,46,0,Soft Drink,
Diet Coke,Diet Coke Ginger Line,ginger lime,360,0,46,0,Soft Drink,
